AmbulanceR,BikeAge,BikeAlcFlg,BikeDir,BikeInjury,BikeSex,City,County,CrashAlcoh,CrashDay,CrashGrp,CrashHour,CrashMonth,CrashType,CrashYear,DrvrAge,DrvrAlcFlg,DrvrInjury,DrvrSex,DrvrVehTyp,HitRun,Latitude,Longitude,RdConditio,SpeedLimit,TraffCntrl,Weather,Workzone,DrvrAgeImputedFlag,BikeAgeImputedFlag,MonthCode
Yes,11.0,No,With Traffic,B: Suspected Minor Injury,Male,Durham,Durham,No,Tuesday,Parallel Paths - Other Circumstances,16.0,January,Bicyclist Ride Out - Parallel Path,2007,35.0,No,O: No Injury,Male,Passenger Car,No,36.03949,-78.883896,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,1
Yes,20.0,No,Facing Traffic,C: Possible Injury,Male,Cary,Wake,No,Friday,Motorist Failed to Yield - Signalized Intersection,9.0,January,Motorist Drive Out - Right Turn on Red,2007,64.0,No,O: No Injury,Male,Passenger Car,No,35.751118,-78.7828,Dry,30 - 35  MPH,Stop And Go Signal,Clear,No,0,0,1
Yes,37.0,No,Unknown,B: Suspected Minor Injury,Male,Stallings,Union,No,Monday,Non-Roadway,17.0,January,Non-Roadway,2007,39.0,No,O: No Injury,Female,Passenger Car,No,35.084732,-80.69782,Dry,20 - 25  MPH,No Control Present,Cloudy,No,0,0,1
Yes,30.0,No,With Traffic,C: Possible Injury,Male,Salisbury,Rowan,No,Friday,Motorist Left Turn / Merge,17.0,January,Motorist Left Turn - Opposite Direction,2007,42.03850604944766,No,Unknown Injury,Unknown,Sport Utility,Yes,35.6844,-80.47932,Dry,30 - 35  MPH,No Control Present,Cloudy,No,1,0,1
Yes,45.0,No,With Traffic,B: Suspected Minor Injury,Male,Fayetteville,Cumberland,No,Friday,Motorist Overtaking Bicyclist,12.0,January,Motorist Overtaking - Bicyclist Swerved,2007,51.0,No,O: No Injury,Female,Van,No,34.999428,-78.90445,Dry,30 - 35  MPH,"Double Yellow Line, No Passing Zone",Clear,No,0,0,1
Yes,58.0,No,With Traffic,B: Suspected Minor Injury,Male,Salisbury,Rowan,No,Wednesday,Bicyclist Failed to Yield - Signalized Intersection,9.0,January,Bicyclist Ride Out - Signalized  Intersection,2007,42.03850604944766,No,Unknown Injury,Unknown,Passenger Car,Yes,35.666668,-80.47759,Dry,30 - 35  MPH,Stop And Go Signal,Clear,No,1,0,1
No,51.0,Yes,With Traffic,A: Suspected Serious Injury,Male,None - Rural Crash,Randolph,Yes,Saturday,Motorist Overtaking Bicyclist,19.0,January,Motorist Overtaking - Undetected Bicyclist,2007,61.0,No,O: No Injury,Male,Pickup,No,35.839287,-79.59008,Dry,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Cloudy,No,0,0,1
Yes,13.0,No,With Traffic,C: Possible Injury,Male,Beaufort,Carteret,No,Sunday,Bicyclist Failed to Yield - Sign-Controlled Intersection,15.0,February,Bicyclist Ride Out - Sign-Controlled Intersection,2007,18.0,No,O: No Injury,Female,Passenger Car,No,34.717346,-76.65675,Dry,20 - 25  MPH,Stop Sign,Clear,No,0,0,2
Yes,18.0,No,With Traffic,C: Possible Injury,Male,Lenoir,Caldwell,No,Monday,Motorist Overtaking Bicyclist,8.0,February,Motorist Overtaking - Other / Unknown,2007,42.03850604944766,Missing,Unknown Injury,Unknown,"Light Truck (Mini-Van, Panel)",Yes,35.890682,-81.57649,Dry,Unknown,No Control Present,Cloudy,No,1,0,2
Yes,19.0,Yes,Facing Traffic,A: Suspected Serious Injury,Male,Cary,Wake,Yes,Saturday,Bicyclist Right Turn / Merge,21.0,February,Bicyclist Right Turn - Opposite Direction,2007,24.0,Yes,O: No Injury,Female,Passenger Car,No,35.79067,-78.77092,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,2
